"Contract Name","Date","Type","Qty","Price","Value"
"BANKNIFTY~O:29-DEC-22:CE:42200","29 Dec 2022","Sell","25","521","13,025.00"
"BANKNIFTY~O:29-DEC-22:CE:42200","29 Dec 2022","Buy","25","538.4","13,460.00"
"BANKNIFTY~O:29-DEC-22:CE:42900","29 Dec 2022","Sell","100","285.01","28,501.00"
"BANKNIFTY~O:29-DEC-22:CE:42900","29 Dec 2022","Buy","100","270.81","27,081.00"
"BANKNIFTY~O:29-DEC-22:PE:43000","29 Dec 2022","Sell","50","294.2","14,710.00"
"BANKNIFTY~O:29-DEC-22:PE:43000","29 Dec 2022","Buy","50","283.25","14,162.50"
"BANKNIFTY~O:29-DEC-22:PE:43200","29 Dec 2022","Sell","125","233.8","29,225.00"
"BANKNIFTY~O:29-DEC-22:PE:43200","29 Dec 2022","Buy","125","242.64","30,330.00"
"BANKNIFTY~O:29-DEC-22:PE:43400","29 Dec 2022","Buy","75","153.22","11,491.50"
"BANKNIFTY~O:29-DEC-22:PE:43400","29 Dec 2022","Sell","75","146.75","11,006.25"
"BANKNIFTY~O:29-DEC-22:CE:42300","28 Dec 2022","Sell","25","545.1","13,627.50"
"BANKNIFTY~O:29-DEC-22:CE:42300","28 Dec 2022","Buy","25","556.95","13,923.75"
"BANKNIFTY~O:29-DEC-22:PE:42500","27 Dec 2022","Buy","100","147.69","14,769.00"
"BANKNIFTY~O:29-DEC-22:PE:42500","27 Dec 2022","Sell","100","128.36","12,836.00"
"BANKNIFTY~O:29-DEC-22:CE:42700","27 Dec 2022","Sell","25","297.65","7,441.25"
"BANKNIFTY~O:29-DEC-22:CE:42700","27 Dec 2022","Buy","25","294.85","7,371.25"
"BANKNIFTY~O:29-DEC-22:PE:42200","26 Dec 2022","Buy","50","315.55","15,777.50"
"BANKNIFTY~O:29-DEC-22:PE:42200","26 Dec 2022","Sell","50","302.1","15,105.00"
"BANKNIFTY~O:29-DEC-22:PE:42700","26 Dec 2022","Sell","50","297.33","14,866.50"
"BANKNIFTY~O:29-DEC-22:PE:42700","26 Dec 2022","Buy","50","299.4","14,970.00"
"BANKNIFTY~O:29-DEC-22:PE:41600","23 Dec 2022","Buy","150","254.83","38,224.50"
"BANKNIFTY~O:29-DEC-22:PE:41600","23 Dec 2022","Sell","150","265.29","39,793.50"
"BANKNIFTY~O:29-DEC-22:PE:41900","23 Dec 2022","Buy","25","350.75","8,768.75"
"BANKNIFTY~O:29-DEC-22:PE:41900","23 Dec 2022","Sell","25","329.45","8,236.25"
"BANKNIFTY~O:29-DEC-22:PE:42000","23 Dec 2022","Buy","50","341","17,050.00"
"BANKNIFTY~O:29-DEC-22:PE:42000","23 Dec 2022","Sell","50","333","16,650.00"
"BANKNIFTY~O:29-DEC-22:CE:42100","23 Dec 2022","Sell","25","223.05","5,576.25"
"BANKNIFTY~O:29-DEC-22:CE:42100","23 Dec 2022","Buy","25","225.9","5,647.50"
"NIFTY~O:29-DEC-22:CE:17800","23 Dec 2022","Sell","50","197.55","9,877.50"
"NIFTY~O:29-DEC-22:CE:17800","23 Dec 2022","Buy","50","211.4","10,570.00"
"BANKNIFTY~O:22-DEC-22:CE:42000","22 Dec 2022","Sell","50","412.23","20,611.50"
"BANKNIFTY~O:22-DEC-22:CE:42000","22 Dec 2022","Buy","50","406.5","20,325.00"
"BANKNIFTY~O:22-DEC-22:CE:42600","22 Dec 2022","Sell","100","128.15","12,815.00"
"BANKNIFTY~O:22-DEC-22:CE:42600","22 Dec 2022","Buy","100","126.4","12,640.00"
"BANKNIFTY~O:22-DEC-22:PE:42800","22 Dec 2022","Sell","50","489.5","24,475.00"
"BANKNIFTY~O:22-DEC-22:PE:42800","22 Dec 2022","Buy","50","487.43","24,371.50"
"BANKNIFTY~O:22-DEC-22:PE:42900","22 Dec 2022","Buy","50","468.28","23,414.00"
"BANKNIFTY~O:22-DEC-22:PE:42900","22 Dec 2022","Sell","50","456.9","22,845.00"
"BANKNIFTY~O:22-DEC-22:PE:43000","22 Dec 2022","Buy","25","440.4","11,010.00"
"BANKNIFTY~O:22-DEC-22:PE:43000","22 Dec 2022","Sell","25","662","16,550.00"
"BANKNIFTY~O:22-DEC-22:CE:42700","21 Dec 2022","Buy","50","186.6","9,330.00"
"BANKNIFTY~O:22-DEC-22:CE:42700","21 Dec 2022","Sell","50","186.75","9,337.50"
"BANKNIFTY~O:22-DEC-22:CE:43000","21 Dec 2022","Sell","75","149.03","11,177.25"
"BANKNIFTY~O:22-DEC-22:CE:43000","21 Dec 2022","Buy","75","166.85","12,513.75"
"BANKNIFTY~O:22-DEC-22:PE:43600","21 Dec 2022","Buy","25","536","13,400.00"
"BANKNIFTY~O:22-DEC-22:PE:43600","21 Dec 2022","Sell","25","604.15","15,103.75"
"NIFTY~O:15-DEC-22:CE:18400","15 Dec 2022","Buy","450","71.84","32,328.00"
"NIFTY~O:15-DEC-22:CE:18400","15 Dec 2022","Sell","450","32.59","14,665.50"
"NIFTY~O:15-DEC-22:CE:18450","15 Dec 2022","Sell","550","78.2","43,010.00"
"NIFTY~O:15-DEC-22:CE:18450","15 Dec 2022","Buy","550","77.88","42,834.00"
"NIFTY~O:15-DEC-22:PE:18450","15 Dec 2022","Sell","300","18.45","5,535.00"
"NIFTY~O:15-DEC-22:PE:18450","15 Dec 2022","Buy","300","36.9","11,070.00"
"NIFTY~O:15-DEC-22:CE:18500","15 Dec 2022","Buy","300","91.79","27,537.00"
"NIFTY~O:15-DEC-22:CE:18500","15 Dec 2022","Sell","300","93.78","28,134.00"
"NIFTY~O:15-DEC-22:PE:18500","15 Dec 2022","Buy","100","25.95","2,595.00"
"NIFTY~O:15-DEC-22:PE:18500","15 Dec 2022","Sell","100","50.3","5,030.00"
"NIFTY~O:15-DEC-22:PE:18550","15 Dec 2022","Sell","100","112.65","11,265.00"
"NIFTY~O:15-DEC-22:PE:18550","15 Dec 2022","Buy","100","116.8","11,680.00"
"NIFTY~O:15-DEC-22:PE:18600","15 Dec 2022","Sell","100","147.1","14,710.00"
"NIFTY~O:15-DEC-22:PE:18600","15 Dec 2022","Buy","100","113.65","11,365.00"
"NIFTY~O:15-DEC-22:PE:18700","15 Dec 2022","Buy","150","176.77","26,515.50"
"NIFTY~O:15-DEC-22:PE:18700","15 Dec 2022","Sell","150","175.62","26,343.00"
"NIFTY~O:22-DEC-22:CE:18550","15 Dec 2022","Sell","150","136.65","20,497.50"
"NIFTY~O:22-DEC-22:CE:18550","15 Dec 2022","Buy","150","138.5","20,775.00"
"BANKNIFTY~O:15-DEC-22:CE:43900","14 Dec 2022","Buy","125","256","32,000.00"
"BANKNIFTY~O:15-DEC-22:CE:43900","14 Dec 2022","Sell","125","243.81","30,476.25"
"BANKNIFTY~O:15-DEC-22:PE:44200","14 Dec 2022","Sell","250","231.22","57,805.00"
"BANKNIFTY~O:15-DEC-22:PE:44200","14 Dec 2022","Buy","250","235.36","58,840.00"
"FINNIFTY~O:13-DEC-22:CE:19300","13 Dec 2022","Buy","320","110","35,200.00"
"FINNIFTY~O:13-DEC-22:CE:19300","13 Dec 2022","Sell","320","105.16","33,651.20"
"BANKNIFTY~O:15-DEC-22:PE:43800","12 Dec 2022","Sell","100","250","25,000.00"
"BANKNIFTY~O:15-DEC-22:PE:43800","12 Dec 2022","Buy","100","248","24,800.00"
"BANKNIFTY~O:15-DEC-22:CE:43600","09 Dec 2022","Sell","100","242.15","24,215.00"
"BANKNIFTY~O:15-DEC-22:CE:43600","09 Dec 2022","Buy","100","241.14","24,114.00"
"BANKNIFTY~O:01-DEC-22:CE:43100","29 Nov 2022","Sell","75","226.1","16,957.50"
"BANKNIFTY~O:01-DEC-22:CE:43100","29 Nov 2022","Buy","75","235","17,625.00"
"BANKNIFTY~O:01-DEC-22:PE:43400","29 Nov 2022","Buy","100","377.29","37,729.00"
"BANKNIFTY~O:01-DEC-22:PE:43400","29 Nov 2022","Sell","100","376.99","37,699.00"
"BANKNIFTY~O:01-DEC-22:CE:42900","25 Nov 2022","Sell","100","310","31,000.00"
"BANKNIFTY~O:01-DEC-22:CE:42900","25 Nov 2022","Buy","100","296.63","29,663.00"
"BANKNIFTY~O:01-DEC-22:CE:43000","25 Nov 2022","Sell","125","277.29","34,661.25"
"BANKNIFTY~O:01-DEC-22:CE:43000","25 Nov 2022","Buy","125","246.7","30,837.50"
"BANKNIFTY~O:24-NOV-22:PE:43100","24 Nov 2022","Buy","200","149.68","29,936.00"
"BANKNIFTY~O:24-NOV-22:PE:43100","24 Nov 2022","Sell","200","159.25","31,850.00"
"BANKNIFTY~O:24-NOV-22:PE:43200","24 Nov 2022","Buy","50","130.65","6,532.50"
"BANKNIFTY~O:24-NOV-22:PE:43200","24 Nov 2022","Sell","50","128.93","6,446.50"
"NIFTY~O:24-NOV-22:CE:18250","24 Nov 2022","Buy","150","118.95","17,842.50"
"NIFTY~O:24-NOV-22:CE:18250","24 Nov 2022","Sell","150","112.43","16,864.50"
"BANKNIFTY~O:24-NOV-22:CE:42100","21 Nov 2022","Sell","50","344.6","17,230.00"
"BANKNIFTY~O:24-NOV-22:CE:42100","21 Nov 2022","Buy","50","343","17,150.00"
"BANKNIFTY~O:24-NOV-22:PE:42600","18 Nov 2022","Sell","50","360.93","18,046.50"
"BANKNIFTY~O:24-NOV-22:PE:42600","18 Nov 2022","Buy","50","358.55","17,927.50"
"BANKNIFTY~O:17-NOV-22:PE:42900","17 Nov 2022","Buy","50","373.3","18,665.00"
"BANKNIFTY~O:17-NOV-22:PE:42900","17 Nov 2022","Sell","50","376.88","18,844.00"
"BANKNIFTY~O:17-NOV-22:CE:41800","14 Nov 2022","Buy","50","394.6","19,730.00"
"BANKNIFTY~O:17-NOV-22:CE:41800","14 Nov 2022","Sell","50","446.68","22,334.00"
"BANKNIFTY~O:10-NOV-22:CE:41600","09 Nov 2022","Buy","50","245.15","12,257.50"
"BANKNIFTY~O:10-NOV-22:CE:41600","09 Nov 2022","Sell","50","276.25","13,812.50"
"BANKNIFTY~O:17-NOV-22:PE:41800","09 Nov 2022","Buy","25","420.6","10,515.00"
"BANKNIFTY~O:17-NOV-22:PE:41800","09 Nov 2022","Sell","25","420.05","10,501.25"
"BANKNIFTY~O:17-NOV-22:PE:41900","09 Nov 2022","Buy","25","478.25","11,956.25"
"BANKNIFTY~O:17-NOV-22:PE:41900","09 Nov 2022","Sell","25","478.35","11,958.75"
"BANKNIFTY~O:17-NOV-22:PE:42000","09 Nov 2022","Sell","50","483.43","24,171.50"
"BANKNIFTY~O:17-NOV-22:PE:42000","09 Nov 2022","Buy","50","488.7","24,435.00"
"BANKNIFTY~O:10-NOV-22:CE:41500","04 Nov 2022","Sell","75","250.47","18,785.25"
"BANKNIFTY~O:10-NOV-22:CE:41500","04 Nov 2022","Buy","50","308.65","15,432.50"
"BANKNIFTY~O:17-NOV-22:PE:41300","04 Nov 2022","Buy","25","577.3","14,432.50"
"BANKNIFTY~O:17-NOV-22:PE:41300","04 Nov 2022","Sell","25","578","14,450.00"
"BANKNIFTY~O:03-NOV-22:CE:40900","03 Nov 2022","Buy","25","419.9","10,497.50"
"BANKNIFTY~O:03-NOV-22:CE:40900","03 Nov 2022","Sell","25","419","10,475.00"
"BANKNIFTY~O:03-NOV-22:PE:41600","03 Nov 2022","Buy","25","319.6","7,990.00"
"BANKNIFTY~O:03-NOV-22:PE:41600","03 Nov 2022","Sell","25","322.95","8,073.75"
